timestamp,x_acc,y_acc,z_acc,x_gyro,y_gyro,z_gyro
1731169389.4613652,0.3,-1.1,-0.27,-71.35,4.03,48.58
1731169488.4613652,0.31,-0.7,-0.17,-16.42,19.59,34.0
1731169587.4613652,0.35,-0.95,-0.22,11.66,-15.5,-44.31
1731169687.4613652,0.32,-1.0,-0.01,-25.63,2.2,32.59
1731169787.4613652,0.39,-0.73,-0.22,18.13,18.49,18.49
1731169887.4613652,0.38,-0.89,-0.27,12.33,-26.61,-59.45
1731169987.4613652,0.3,-1.02,0.05,-19.1,12.21,39.43
1731170086.4613652,0.32,-0.93,-0.35,64.58,10.31,13.55
1731170186.4613652,0.31,-1.08,-0.2,66.77,-18.25,-54.63
1731170285.4613652,0.37,-0.87,-0.21,-39.92,20.08,45.72
1731170385.4613652,0.34,-0.75,-0.47,34.3,12.15,-2.69
1731170485.4613652,0.31,-1.09,-0.34,50.66,6.35,-52.8
1731170585.4613652,0.27,-0.82,-0.31,-72.08,12.02,67.2
1731170684.4613652,0.35,-0.68,-0.37,34.97,4.27,-6.65
1731170784.4613652,0.31,-1.08,-0.4,15.01,-12.7,-44.49
1731170883.4613652,0.35,-0.9,-0.34,-30.03,3.54,41.99
1731170982.4613652,0.24,-0.79,-0.4,37.05,0.61,-3.05
1731171082.4613652,0.27,-1.05,-0.45,76.17,-16.54,-57.92
1731171182.4613652,0.33,-0.95,-0.35,-34.73,-5.8,47.97
1731171282.4613652,0.27,-0.75,-0.48,52.86,-11.9,14.04
1731171382.4613652,0.19,-1.11,-0.56,28.93,-11.84,-42.85
1731171482.4613652,0.39,-0.85,-0.39,-36.07,10.74,45.59
1731171582.4613652,0.36,-0.74,-0.4,28.08,1.77,26.25
1731171681.4613652,0.32,-0.85,-0.42,17.03,-3.97,-47.3
1731171780.4613652,0.38,-0.95,-0.23,-42.05,8.3,35.16
1731171880.4613652,0.47,-0.57,-0.33,-5.37,14.28,26.18
1731171979.4613652,0.39,-0.77,-0.37,0.49,-4.15,-51.39
1731172079.4613652,0.37,-0.97,-0.14,-35.34,6.04,35.95
1731172178.4613652,0.49,-0.62,-0.39,16.78,13.79,21.79
1731172278.4613652,0.36,-0.82,-0.41,-1.34,-11.47,-50.42
1731172377.4613652,0.36,-1.0,-0.18,-4.15,6.35,26.73
1731172476.4613652,0.44,-0.74,-0.46,51.51,14.16,16.11
1731172576.4613652,0.34,-0.81,-0.41,20.45,-10.62,-58.9
1731172675.4613652,0.42,-0.89,-0.27,-29.54,15.26,43.33
1731172774.4613652,0.41,-0.65,-0.41,57.19,7.93,2.44
1731172873.4613652,0.3,-0.75,-0.44,46.63,-1.77,-67.87
1731172973.4613652,0.36,-1.0,-0.51,-44.13,7.2,38.64
1731173072.4613652,0.41,-0.58,-0.43,36.32,8.0,11.96
1731173172.4613652,0.31,-0.6,-0.51,26.37,4.88,-51.51
1731173271.4613652,0.37,-0.97,-0.66,-44.74,5.43,32.71
1731173370.4613652,0.46,-0.49,-0.48,-5.31,-1.77,18.68
1731173470.4613652,0.34,-0.58,-0.52,11.11,-5.68,-38.33
1731173569.4613652,0.34,-1.0,-0.56,-34.97,4.88,30.94
1731173668.4613652,0.49,-0.49,-0.46,-16.85,-2.26,20.2
1731173768.4613652,0.44,-0.55,-0.47,-1.22,-2.87,-37.9
1731173868.4613652,0.37,-1.06,-0.47,-68.66,-13.67,21.91
1731173967.4613652,0.49,-0.59,-0.46,17.64,9.46,14.16
1731174067.4613652,0.46,-0.55,-0.44,7.75,2.75,-51.7
1731174167.4613652,0.4,-0.95,-0.36,-38.88,8.06,23.56
1731174267.4613652,0.41,-0.66,-0.39,56.7,8.85,8.3
1731174366.4613652,0.34,-0.58,-0.44,21.12,2.2,-57.01
1731174465.4613652,0.38,-0.97,-0.55,-59.14,9.34,32.41
1731174565.4613652,0.44,-0.65,-0.45,8.67,6.47,26.37
1731174665.4613652,0.37,-0.6,-0.64,15.69,-3.05,-33.02
1731174765.4613652,0.31,-1.0,-0.6,-43.27,7.32,24.72
1731174865.4613652,0.46,-0.74,-0.54,-18.31,7.87,40.71
1731174964.4613652,0.43,-0.57,-0.62,20.57,-4.27,-12.15
1731175064.4613652,0.38,-1.01,-0.61,-11.78,-18.37,-10.62
1731175164.4613652,0.52,-0.63,-0.36,3.85,-11.23,13.67
1731175263.4613652,0.47,-0.57,-0.56,41.26,3.91,-45.41
1731175362.4613652,0.36,-0.98,-0.57,-29.66,2.44,9.16
1731175461.4613652,0.44,-0.58,-0.43,15.87,15.75,22.16
1731175561.4613652,0.35,-0.59,-0.44,17.82,10.68,-41.69
1731175660.4613652,0.39,-1.02,-0.69,-49.8,10.62,21.12
1731175760.4613652,0.41,-0.6,-0.52,21.61,5.74,36.74
1731175860.4613652,0.34,-0.58,-0.55,7.57,7.63,-43.33
1731175960.4613652,0.37,-0.93,-0.69,-49.56,10.62,34.85
1731176060.4613652,0.48,-0.49,-0.54,-8.79,-5.62,23.62
1731176159.4613652,0.4,-0.47,-0.54,10.31,-6.23,-43.95
1731176259.4613652,0.36,-1.0,-0.57,-51.03,-14.34,19.71
1731176359.4613652,0.5,-0.56,-0.35,22.09,-15.01,-7.2
1731176459.4613652,0.38,-0.7,-0.4,28.75,-0.85,-55.66
1731176559.4613652,0.34,-0.89,-0.42,-31.8,3.36,35.16
1731176658.4613652,0.38,-0.68,-0.62,19.9,20.32,18.43
1731176757.4613652,0.33,-0.94,-0.57,8.48,22.71,-27.71
1731176857.4613652,0.46,-0.68,-0.45,-36.44,4.09,46.57
1731176956.4613652,0.36,-0.63,-0.47,61.77,-5.37,-8.79
1731177055.4613652,0.29,-0.83,-0.56,54.2,6.41,-48.34
1731177155.4613652,0.44,-0.77,-0.62,-42.97,3.3,45.47
1731177254.4613652,0.34,-0.68,-0.59,35.89,-5.49,10.86
1731177354.4613652,0.31,-0.9,-0.66,15.32,-3.42,-36.68
1731177454.4613652,0.41,-0.76,-0.52,-36.5,0.37,45.9
1731177554.4613652,0.39,-0.66,-0.52,48.46,-3.72,2.26
1731177654.4613652,0.35,-0.99,-0.6,27.4,-2.93,-44.37
1731177753.4613652,0.42,-0.72,-0.46,-15.63,7.81,41.56
1731177853.4613652,0.4,-0.71,-0.66,33.2,7.87,14.95
1731177953.4613652,0.36,-0.9,-0.56,21.91,2.08,-45.65
1731178053.4613652,0.4,-0.8,-0.49,-23.5,12.27,50.05
1731178152.4613652,0.36,-0.73,-0.61,66.35,2.81,12.39
1731178252.4613652,0.31,-0.83,-0.6,19.84,-1.95,-44.98
1731178351.4613652,0.35,-0.82,-0.45,-42.85,9.58,50.78
1731178451.4613652,0.46,-0.63,-0.48,20.26,1.89,16.72
1731178551.4613652,0.42,-0.66,-0.48,-1.34,-11.05,-37.9
1731178651.4613652,0.43,-0.82,-0.39,-26.98,-6.47,34.42
1731178750.4613652,0.45,-0.69,-0.59,34.42,-2.62,-3.3
1731178850.4613652,0.42,-0.97,-0.59,38.15,-12.33,-46.81
1731178950.4613652,0.46,-0.64,-0.46,-23.13,16.05,40.41
1731179049.4613652,0.43,-0.62,-0.63,-14.04,7.51,-9.89
1731179148.4613652,0.4,-1.08,-0.64,12.45,6.47,-25.7
1731179247.4613652,0.44,-0.6,-0.48,-11.29,16.54,40.04
1731179346.4613652,0.4,-0.64,-0.68,9.7,7.32,-11.29
1731179446.4613652,0.3,-1.06,-0.68,15.99,21.55,-15.2
1731179546.4613652,0.4,-0.66,-0.58,-20.08,-4.27,52.67
1731179645.4613652,0.32,-0.68,-0.69,62.44,-11.78,-2.44
1731179745.4613652,0.29,-0.9,-0.67,23.07,1.65,-29.11
1731179845.4613652,0.45,-0.76,-0.6,-31.01,1.89,33.39
1731179944.4613652,0.4,-0.62,-0.48,18.43,-4.88,15.44
1731180044.4613652,0.39,-0.55,-0.46,-0.18,6.04,-33.33
1731180143.4613652,0.4,-0.85,-0.54,-64.15,13.79,28.63
1731180243.4613652,0.49,-0.48,-0.49,-7.02,6.59,16.91
1731180342.4613652,0.39,-0.53,-0.43,-7.02,-3.17,-42.6
1731180442.4613652,0.37,-0.97,-0.42,-33.63,-6.84,24.9
1731180542.4613652,0.5,-0.56,-0.37,23.19,-0.24,10.56
1731180641.4613652,0.45,-0.48,-0.47,6.77,-0.85,-36.07
1731180741.4613652,0.39,-0.97,-0.5,-23.19,-3.85,23.62
1731180840.4613652,0.45,-0.61,-0.49,21.3,8.36,14.77
1731180939.4613652,0.42,-0.47,-0.46,14.47,7.08,-41.44
1731181038.4613652,0.34,-1.12,-0.8,4.76,5.68,-5.98
1731181137.4613652,0.5,-0.5,-0.56,10.93,5.98,31.56
1731181237.4613652,0.39,-0.51,-0.64,-32.65,5.25,-16.3
1731181337.4613652,0.3,-1.05,-0.84,-61.89,13.31,33.69
1731181437.4613652,0.49,-0.56,-0.58,-0.18,3.42,25.76
1731181536.4613652,0.4,-0.56,-0.68,29.48,-6.53,-26.25
1731181636.4613652,0.38,-1.05,-0.63,-36.62,-0.12,5.74
1731181736.4613652,0.48,-0.65,-0.58,-31.13,4.09,35.4
1731181836.4613652,0.44,-0.52,-0.63,21.48,-0.79,-3.17
1731181935.4613652,0.44,-1.09,-0.68,17.4,-12.39,-28.56
1731182034.4613652,0.47,-0.72,-0.49,-11.11,8.79,41.99
1731182134.4613652,0.42,-0.67,-0.75,19.41,8.36,-4.94
1731182234.4613652,0.37,-0.99,-0.66,19.84,14.77,-61.65
1731182334.4613652,0.43,-0.59,-0.5,-11.72,4.03,45.53
1731182433.4613652,0.35,-0.59,-0.71,45.53,4.94,-19.35
1731182533.4613652,0.21,-1.01,-0.7,-11.11,22.71,-22.64
1731182633.4613652,0.38,-0.63,-0.65,-11.84,-2.69,57.07
1731182732.4613652,0.33,-0.58,-0.69,34.42,-7.39,2.56
1731182832.4613652,0.33,-1.08,-0.7,-22.4,6.47,-5.31
1731182931.4613652,0.42,-0.79,-0.63,-23.13,-4.33,57.37
1731183030.4613652,0.42,-0.58,-0.48,33.33,-13.24,5.8
1731183130.4613652,0.43,-0.71,-0.53,23.68,-1.34,-42.6
1731183229.4613652,0.43,-0.86,-0.47,-42.3,-1.34,36.99
1731183329.4613652,0.48,-0.5,-0.37,31.25,-4.7,-2.08
1731183428.4613652,0.45,-0.49,-0.48,17.76,-0.18,-47.3
1731183527.4613652,0.41,-0.91,-0.51,-62.56,-5.43,17.4
1731183627.4613652,0.46,-0.66,-0.52,-14.34,18.07,39.0
1731183727.4613652,0.49,-0.5,-0.56,-12.27,5.37,-18.92
1731183827.4613652,0.45,-1.08,-0.65,-46.94,-7.32,-2.38
1731183927.4613652,0.46,-0.71,-0.46,-7.63,18.68,42.91
1731184026.4613652,0.51,-0.59,-0.72,-6.41,4.94,8.18
1731184125.4613652,0.44,-1.1,-0.59,1.89,-7.69,-37.54
1731184224.4613652,0.52,-0.69,-0.47,-1.34,17.76,38.45
1731184323.4613652,0.46,-0.65,-0.72,31.13,-1.4,6.04
1731184423.4613652,0.4,-1.0,-0.67,35.77,-15.01,-45.47
1731184522.4613652,0.48,-0.65,-0.54,-9.22,0.49,46.69
1731184622.4613652,0.46,-0.57,-0.62,3.78,-2.26,-12.88
1731184722.4613652,0.41,-1.05,-0.7,33.14,1.04,-24.48
1731184822.4613652,0.49,-0.58,-0.5,-21.73,9.52,40.71
1731184921.4613652,0.45,-0.57,-0.69,-9.46,4.88,-18.49
1731185021.4613652,0.36,-0.87,-0.51,-5.8,15.63,-34.36
1731185121.4613652,0.39,-0.74,-0.57,-17.21,10.07,41.38
1731185221.4613652,0.39,-0.66,-0.68,34.91,10.62,12.94
1731185321.4613652,0.37,-0.73,-0.53,18.01,4.7,-36.07
1731185421.4613652,0.4,-0.85,-0.59,-22.95,6.47,34.0
1731185521.4613652,0.43,-0.53,-0.55,34.0,3.97,15.63
1731185621.4613652,0.31,-0.53,-0.62,23.68,7.93,-39.92
1731185720.4613652,0.39,-0.87,-0.79,-30.64,-0.18,10.74
1731185820.4613652,0.44,-0.56,-0.56,-15.87,-19.9,38.33
1731185920.4613652,0.44,-0.44,-0.53,2.38,-4.94,-35.1
1731186020.4613652,0.4,-1.03,-0.62,-65.92,-13.43,18.8
1731186120.4613652,0.55,-0.51,-0.49,16.17,1.46,21.12
1731186219.4613652,0.51,-0.52,-0.59,-38.27,0.55,-22.71
1731186319.4613652,0.44,-1.0,-0.59,-39.37,-5.98,-2.93
1731186418.4613652,0.55,-0.57,-0.5,1.16,15.75,23.38
1731186517.4613652,0.48,-0.58,-0.59,-28.38,0.18,-17.94
1731186617.4613652,0.44,-1.11,-0.66,-47.91,-0.55,-3.23
1731186716.4613652,0.54,-0.6,-0.47,-5.31,20.63,43.88
1731186816.4613652,0.51,-0.58,-0.67,-17.09,1.89,2.01
1731186915.4613652,0.45,-1.02,-0.74,-13.43,2.93,2.81
1731187015.4613652,0.58,-0.56,-0.5,-9.09,0.0,29.85
1731187115.4613652,0.51,-0.46,-0.61,47.91,-7.14,-26.49
1731187214.4613652,0.4,-1.17,-0.86,44.8,-18.37,-29.91
1731187313.4613652,0.51,-0.59,-0.53,0.67,2.93,26.73
1731187412.4613652,0.48,-0.56,-0.58,22.64,4.88,-37.66
1731187512.4613652,0.43,-0.93,-0.61,-29.91,-1.4,15.99
1731187612.4613652,0.44,-0.5,-0.52,1.1,13.24,19.23
1731187712.4613652,0.41,-0.6,-0.55,0.43,10.25,-30.82
1731187811.4613652,0.41,-0.95,-0.8,-26.25,10.5,4.7
1731187910.4613652,0.5,-0.5,-0.51,15.63,-0.12,24.11
1731188010.4613652,0.37,-0.57,-0.8,-16.3,8.54,-20.2
1731188110.4613652,0.41,-0.94,-0.69,-47.97,5.98,16.54
1731188210.4613652,0.54,-0.57,-0.58,-24.9,-1.4,38.88
1731188309.4613652,0.38,-0.62,-0.63,43.15,-7.02,-14.22
1731188409.4613652,0.41,-1.02,-0.62,-16.85,-1.83,2.08
1731188508.4613652,0.55,-0.63,-0.58,-44.62,1.59,33.26
1731188608.4613652,0.47,-0.59,-0.66,10.93,-6.96,-17.7
1731188707.4613652,0.41,-1.07,-0.54,11.6,-8.73,-28.08
1731188806.4613652,0.45,-0.76,-0.39,-35.03,18.31,44.49
1731188906.4613652,0.48,-0.63,-0.57,24.35,11.96,14.34
1731189005.4613652,0.45,-0.94,-0.54,9.22,-5.37,-27.28
1731189104.4613652,0.48,-0.75,-0.45,-12.51,17.88,39.43
1731189203.4613652,0.5,-0.65,-0.71,3.91,9.64,12.08
1731189303.4613652,0.45,-1.02,-0.53,14.16,-6.04,-39.55
1731189402.4613652,0.48,-0.81,-0.4,-10.99,15.08,42.18
1731189501.4613652,0.43,-0.68,-0.69,52.25,7.87,-0.92
1731189601.4613652,0.42,-0.67,-0.54,35.64,-3.36,-57.74
1731189701.4613652,0.44,-0.8,-0.51,-0.18,5.55,43.88
1731189801.4613652,0.37,-0.65,-0.7,73.67,-2.62,-2.01
1731189900.4613652,0.3,-0.69,-0.57,66.35,6.96,-58.04
1731189999.4613652,0.45,-0.62,-0.61,-63.6,3.17,38.82
1731190099.4613652,0.48,-0.53,-0.67,20.81,-2.93,17.52
1731190199.4613652,0.39,-0.55,-0.69,-12.7,7.2,-22.46
1731190299.4613652,0.39,-0.94,-0.75,-46.63,11.05,8.79
1731190398.4613652,0.48,-0.61,-0.59,-44.13,9.7,45.47
1731190498.4613652,0.4,-0.58,-0.62,52.98,0.37,-11.84
1731190597.4613652,0.37,-1.01,-0.68,-24.29,-7.93,-11.05
1731190697.4613652,0.47,-0.71,-0.49,-27.1,0.98,38.33
1731190796.4613652,0.43,-0.64,-0.57,30.76,-1.1,5.49
1731190896.4613652,0.43,-1.03,-0.5,11.78,-13.67,-32.53
1731190996.4613652,0.46,-0.81,-0.34,0.85,2.75,32.96
1731191095.4613652,0.42,-0.69,-0.64,52.86,7.14,10.93
1731191195.4613652,0.38,-0.77,-0.53,33.02,-8.06,-42.18
1731191295.4613652,0.5,-0.83,-0.39,-11.96,11.23,39.06
1731191394.4613652,0.41,-0.65,-0.58,75.26,4.39,-2.99
1731191493.4613652,0.34,-0.46,-0.43,51.03,9.22,-42.18
1731191593.4613652,0.45,-0.95,-0.68,-33.39,1.95,32.17
1731191692.4613652,0.51,-0.37,-0.62,18.01,1.34,16.42
1731191792.4613652,0.38,-0.47,-0.66,19.04,-1.16,-25.57
1731191891.4613652,0.46,-0.97,-0.81,-55.48,2.69,15.32
1731191991.4613652,0.53,-0.47,-0.61,-18.31,6.84,36.56
1731192091.4613652,0.45,-0.45,-0.68,-15.81,-3.05,-15.63
1731192190.4613652,0.48,-0.96,-0.66,-37.66,-0.49,-2.62
1731192290.4613652,0.56,-0.39,-0.5,-7.45,2.56,32.71
1731192390.4613652,0.53,-0.35,-0.57,-10.38,5.13,-30.27
1731192490.4613652,0.53,-0.96,-0.64,-39.49,-7.69,5.19
1731192589.4613652,0.53,-0.45,-0.52,-17.03,8.48,28.63
1731192688.4613652,0.54,-0.39,-0.61,-0.79,5.31,-26.0
1731192787.4613652,0.51,-1.02,-0.66,-32.23,-1.89,0.06
1731192886.4613652,0.52,-0.57,-0.55,-33.2,15.63,39.43
1731192986.4613652,0.52,-0.5,-0.69,-7.02,9.46,-4.09
1731193086.4613652,0.49,-0.98,-0.61,-7.14,-4.21,-28.87
1731193186.4613652,0.51,-0.74,-0.47,-20.32,13.55,45.96
1731193286.4613652,0.51,-0.58,-0.62,34.0,7.69,5.43
1731193386.4613652,0.48,-0.67,-0.5,21.3,-4.27,-50.23
1731193486.4613652,0.49,-0.86,-0.5,5.0,7.26,30.94
1731193585.4613652,0.52,-0.47,-0.52,44.01,3.54,-7.87
1731193684.4613652,0.44,-0.44,-0.51,-19.65,8.48,-34.3
1731193784.4613652,0.45,-0.98,-0.72,-21.97,4.52,-8.36
1731193884.4613652,0.48,-0.5,-0.51,4.09,8.97,32.96
1731193983.4613652,0.42,-0.56,-0.84,39.25,1.34,-9.28
1731194083.4613652,0.4,-0.92,-0.68,4.46,7.14,-29.36
1731194183.4613652,0.48,-0.61,-0.65,-30.88,3.72,53.89
1731194282.4613652,0.38,-0.53,-0.7,41.08,-2.69,6.77
1731194382.4613652,0.35,-0.85,-0.74,9.28,0.06,-23.99
1731194481.4613652,0.53,-0.77,-0.61,-35.89,5.37,41.93
1731194580.4613652,0.56,-0.35,-0.47,-3.72,1.34,17.4
1731194679.4613652,0.45,-0.49,-0.65,8.12,0.43,-21.79
1731194779.4613652,0.51,-0.88,-0.71,-51.15,-4.94,19.17
1731194879.4613652,0.57,-0.52,-0.58,-33.57,-5.86,27.89
1731194979.4613652,0.53,-0.49,-0.58,21.12,-4.09,-11.78
1731195079.4613652,0.52,-1.01,-0.69,24.9,-13.43,-30.03
1731195179.4613652,0.54,-0.7,-0.52,-33.63,5.31,36.19
1731195278.4613652,0.53,-0.5,-0.6,8.73,11.78,0.06
1731195378.4613652,0.47,-0.64,-0.51,61.89,7.32,-58.23
1731195478.4613652,0.48,-0.89,-0.59,-42.72,-1.77,27.04
1731195578.4613652,0.53,-0.36,-0.49,4.21,22.16,18.86
1731195678.4613652,0.49,-0.55,-0.55,-11.17,1.71,-34.18
1731195777.4613652,0.5,-0.83,-0.47,-51.33,0.55,10.56
1731195877.4613652,0.52,-0.56,-0.5,8.79,16.66,19.17
1731195976.4613652,0.52,-0.36,-0.53,-6.16,-3.05,-24.17
1731196076.4613652,0.48,-0.96,-0.69,-12.39,-1.22,-12.82
1731196175.4613652,0.51,-0.61,-0.56,3.6,4.27,29.24
1731196275.4613652,0.45,-0.45,-0.78,39.73,3.72,-18.62
1731196375.4613652,0.39,-0.99,-0.77,15.81,-6.04,-29.05
1731196474.4613652,0.46,-0.78,-0.73,-60.79,1.16,63.35
1731196574.4613652,0.46,-0.41,-0.51,49.38,-1.77,-19.96
1731196673.4613652,0.45,-0.86,-0.66,-3.42,11.78,17.76
1731196772.4613652,0.57,-0.66,-0.69,-53.65,3.54,50.29
1731196872.4613652,0.5,-0.48,-0.56,35.64,-4.76,-12.21
1731196972.4613652,0.48,-0.89,-0.68,20.57,-1.46,-33.14
1731197072.4613652,0.52,-0.82,-0.56,-15.63,-4.94,34.42
1731197171.4613652,0.48,-0.48,-0.58,20.63,8.0,19.71
1731197271.4613652,0.5,-0.53,-0.49,10.93,-0.49,-45.29
1731197370.4613652,0.52,-0.83,-0.45,-24.66,-2.69,25.39
1731197470.4613652,0.51,-0.53,-0.6,36.8,17.7,8.91
1731197570.4613652,0.49,-0.49,-0.46,11.05,13.85,-54.32
1731197670.4613652,0.52,-0.81,-0.59,-15.93,1.16,11.23
1731197769.4613652,0.46,-0.48,-0.6,62.68,1.71,-11.05
1731197869.4613652,0.3,-0.53,-0.66,26.18,15.26,-63.66
1731197969.4613652,0.43,-0.73,-0.74,-56.58,4.52,34.0
1731198068.4613652,0.49,-0.38,-0.58,-10.5,-5.92,28.08
1731198168.4613652,0.36,-0.51,-0.56,-0.24,-1.53,-30.64
1731198268.4613652,0.48,-0.84,-0.62,-83.68,3.91,30.15
1731198368.4613652,0.58,-0.56,-0.54,-5.19,-7.93,23.74
1731198467.4613652,0.49,-0.42,-0.54,-12.82,5.43,-33.81
1731198567.4613652,0.47,-0.96,-0.6,-60.85,2.08,9.4
1731198667.4613652,0.54,-0.58,-0.47,0.55,6.16,26.43
1731198766.4613652,0.49,-0.52,-0.6,-8.67,6.16,-18.74
1731198866.4613652,0.46,-0.99,-0.57,-47.67,-1.59,0.37
1731198966.4613652,0.53,-0.64,-0.51,-32.59,12.7,42.91
1731199066.4613652,0.48,-0.66,-0.7,15.01,7.32,-4.15
1731199166.4613652,0.51,-0.88,-0.51,-59.33,-5.92,-3.11
1731199266.4613652,0.57,-0.62,-0.43,-17.21,10.99,42.79
1731199366.4613652,0.55,-0.47,-0.58,43.88,2.08,-22.52
1731199465.4613652,0.51,-1.08,-0.8,46.2,-6.23,-15.08
1731199565.4613652,0.51,-0.45,-0.5,4.94,-12.08,10.31
1731199665.4613652,0.42,-0.68,-0.53,39.86,11.29,-40.22
1731199765.4613652,0.5,-0.94,-0.56,-25.88,-5.0,22.46
1731199865.4613652,0.53,-0.41,-0.48,-12.02,0.55,20.94
1731199965.4613652,0.45,-0.61,-0.43,0.85,5.31,-31.62
1731200065.4613652,0.51,-0.93,-0.44,-32.04,-2.5,17.88
1731200164.4613652,0.54,-0.47,-0.44,-3.17,10.19,27.28
1731200263.4613652,0.52,-0.54,-0.46,-24.35,0.49,-26.86
1731200362.4613652,0.52,-0.94,-0.35,-6.41,-5.86,15.2
1731200462.4613652,0.54,-0.56,-0.42,5.49,18.07,22.83
1731200562.4613652,0.48,-0.73,-0.38,20.14,-7.45,-67.75
1731200662.4613652,0.47,-0.8,-0.27,-25.02,7.08,21.0
1731200762.4613652,0.45,-0.7,-0.57,59.69,8.91,14.16
1731200862.4613652,0.42,-0.72,-0.48,33.39,-4.94,-56.34
1731200961.4613652,0.46,-0.91,-0.37,-10.25,6.1,38.51
1731201061.4613652,0.43,-0.63,-0.62,67.38,-1.65,20.32
1731201161.4613652,0.41,-0.62,-0.54,37.17,-3.91,-45.29
1731201261.4613652,0.48,-0.86,-0.57,-20.75,2.01,47.85
1731201361.4613652,0.52,-0.48,-0.59,17.7,-0.79,17.4
1731201461.4613652,0.47,-0.71,-0.54,33.94,0.85,-35.89
1731201561.4613652,0.56,-0.75,-0.5,-41.14,-1.1,39.18
1731201661.4613652,0.51,-0.47,-0.59,20.08,13.55,14.83
1731201761.4613652,0.47,-0.74,-0.52,32.53,5.43,-40.28
1731201861.4613652,0.59,-0.75,-0.6,-35.22,16.11,29.54
1731201961.4613652,0.57,-0.46,-0.49,-21.48,21.06,22.95
1731202060.4613652,0.44,-0.51,-0.6,-11.84,14.77,-43.27
1731202160.4613652,0.47,-0.81,-0.7,-49.74,-15.32,5.62
1731202259.4613652,0.44,-0.64,-0.51,36.38,-5.92,21.67
1731202358.4613652,0.41,-0.46,-0.7,38.27,1.77,-46.63
1731202458.4613652,0.53,-0.79,-0.68,-48.52,-7.26,16.05
1731202557.4613652,0.46,-0.59,-0.44,6.47,-4.39,11.6
1731202656.4613652,0.47,-0.52,-0.5,58.53,4.09,-58.35
